Intro.1.player.prolific_id,Section_1.1.player.question1,Section_1.1.player.question2,Section_1.1.player.question3,Section_1.1.player.question4,Section_1.1.player.question5,Section_1.1.player.question6,Section_1.1.player.question7,Section_1.1.player.question8,Section_1.1.player.question9,Section_1.1.player.question10,Section_1.1.player.stem_quiz_1_answers,Section_1.1.player.stem_quiz_1_score,Section_1.1.player.num_tab_switches_in_section_1,Section_1.1.player.total_time_hidden_in_section_1,Section_2_3.1.player.track,Section_2_3.1.player.path,Section_2_3.1.player.info_structure,Section_2_3.1.player.preferred_info_structure,Section_2_3.1.player.performance,Section_2_3.1.player.ball_color,Section_2_3.1.player.overplacement,Section_2_3.1.player.overestimation,Section_2_3.1.player.passing_threshold,Section_2_3.1.player.ball_origin_estimation,Section_4_5.1.player.question1,Section_4_5.1.player.question2,Section_4_5.1.player.question3,Section_4_5.1.player.question4,Section_4_5.1.player.question5,Section_4_5.1.player.question6,Section_4_5.1.player.question7,Section_4_5.1.player.question8,Section_4_5.1.player.question9,Section_4_5.1.player.question10,Section_4_5.1.player.quiz_2_answers,Section_4_5.1.player.quiz_2_score,Section_4_5.1.player.preferred_second_survey,Section_4_5.1.player.num_tab_switches_in_section_5,Section_4_5.1.player.total_time_hidden_in_section_5,Section_6.1.player.question1,Section_6.1.player.question2,Section_6.1.player.question3,Section_6.1.player.question4,Section_6.1.player.question5,Section_6.1.player.question6,Section_6.1.player.question7,Section_6.1.player.question8,Section_6.1.player.question9,Section_6.1.player.question10,Section_6.1.player.question11,Section_6.1.player.risk_tolerance_answers,Section_7.1.player.schools_private_independent,Section_7.1.player.schools_private_religious,Section_7.1.player.schools_public_school,Section_7.1.player.schools_homeschool,Section_7.1.player.schools_online_school,Section_7.1.player.schools_charter_school,Section_7.1.player.schools_all_girls_school,Section_7.1.player.schools_all_boys_school,Section_7.1.player.schools_stem_oriented_school,Section_7.1.player.track_decision,Section_7.1.player.experience,Section_7.1.player.preferred_second_survey,Time taken,Total approvals,Ethnicity,Highest education level completed,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
66406fd262a847c71db3f825,B,C,A,B,D,B,C,C,D,B,,,0.0,0.0,noisy,random,positive,,Fail,red,10.0,2.0,3.0,Fail Box,D,B,A,C,B,D,A,B,C,D,,,Non-STEM Track,0.0,0.0,R,R,R,R,R,C,C,C,C,C,C,,0,0,0,0,0,0,0,0,0,False,False,Non-STEM Track,862.0,79,White,High school diploma/A-levels,20,Male,White,United States,United States,United States,English,No,Full-Time
5dc11777a4b6ac097d0d5ca5,D,A,C,C,B,B,D,B,C,,,,0.0,0.0,noisy,random,positive,,Fail,red,50.0,7.0,5.0,Fail Box,B,B,C,B,A,D,C,A,B,C,,,STEM Track,0.0,0.0,R,R,R,R,C,C,C,C,C,C,C,,0,0,0,0,0,0,0,0,0,False,False,STEM Track,1147.0,1705,White,Graduate degree (MA/MSc/MPhil/other),27,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
5ff7daa1dd81f74ce4e1810b,C,A,A,C,B,B,D,C,D,C,,,0.0,0.0,noisy,random,negative,,Fail,red,55.0,5.0,5.0,Fail Box,D,B,A,C,B,D,A,B,C,D,,,Non-STEM Track,0.0,0.0,R,R,R,R,R,C,C,C,C,C,C,,0,0,0,0,0,0,0,0,0,False,False,Non-STEM Track,558.0,250,Latino/Hispanic,Undergraduate degree (BA/BSc/other),27,Male,White,United States,United States,United States,English,No,Full-Time
66a4619edb5ff0af0062c3b4,D,C,C,B,C,B,C,C,C,C,,,3.0,19.661,noisy,random,positive,,Fail,red,50.0,5.0,6.0,Pass Box,B,C,D,A,A,D,B,A,B,B,,,STEM Track,0.0,0.0,R,R,R,C,R,C,R,R,R,R,R,,0,0,0,0,0,0,0,0,0,False,False,STEM Track,1241.0,19,Black/African American,Undergraduate degree (BA/BSc/other),33,Female,Black,United States,United States,United States,English,Yes,Full-Time
5d1ea1e069ae560018f60008,D,D,A,A,C,B,D,C,A,A,,,0.0,0.0,noisy,random,negative,,Fail,red,37.0,4.0,3.0,Fail Box,D,B,A,C,B,D,A,B,C,D,,,Non-STEM Track,0.0,0.0,R,R,R,R,C,C,C,C,C,C,C,,0,0,0,0,0,0,0,0,0,False,False,Non-STEM Track,666.0,402,White,Technical/community college,23,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
5c9e291cb78be40001a90c5a,D,C,D,B,A,B,D,B,C,C,,,0.0,0.0,noisy,random,negative,,Fail,red,50.0,5.0,5.0,Fail Box,D,B,A,C,B,D,A,B,C,D,,,Non-STEM Track,0.0,0.0,R,R,R,R,C,C,C,C,C,C,C,,0,0,0,0,0,0,0,0,0,False,False,Non-STEM Track,479.0,443,South Asian,Graduate degree (MA/MSc/MPhil/other),40,Female,Asian,United States,United States,United States,English,No,Full-Time
5cf8318919f4a3001a24221e,D,A,B,B,B,,D,,,,,,0.0,0.0,noisy,random,positive,,Fail,red,60.0,5.0,3.0,Not Sure,B,A,C,B,A,D,C,A,C,C,,,STEM Track,0.0,0.0,R,R,R,R,C,C,C,C,C,C,C,,0,0,0,0,0,0,0,0,0,False,False,STEM Track,1530.0,2288,Black/African American,Undergraduate degree (BA/BSc/other),34,Female,Black,United States,United States,United States,English,No,Full-Time
60fe0507c174a6b07829e608,D,A,B,C,C,B,D,B,A,A,,,0.0,0.0,noisy,random,negative,,Fail,red,40.0,6.0,4.0,Fail Box,D,B,A,C,B,D,A,B,C,D,,,Non-STEM Track,0.0,0.0,R,R,R,C,C,C,C,C,C,C,C,,0,0,0,0,0,0,0,0,0,False,False,Non-STEM Track,1318.0,152,White,Undergraduate degree (BA/BSc/other),29,Female,White,United States,United States,United States,English,No,Full-Time
650dc8bdbbbc9672321e9b45,B,A,D,C,C,B,A,D,C,D,,,0.0,0.0,noisy,random,positive,,Fail,red,60.0,3.0,5.0,Pass Box,D,B,A,C,B,D,A,B,C,D,,,Non-STEM Track,0.0,0.0,R,R,R,R,R,C,C,C,C,C,C,,0,0,0,0,0,0,0,0,0,False,False,Non-STEM Track,449.0,389,White,Technical/community college,28,Female,White,United States,United States,United States,English,Yes,Part-Time
6137ac01b8ff9b79e14eded1,D,A,A,B,B,C,D,C,B,A,,,0.0,0.0,noisy,random,ground,,Fail,red,60.0,5.0,5.0,Fail Box,B,A,C,A,A,D,C,B,B,A,,,STEM Track,0.0,0.0,R,R,R,R,C,C,C,C,C,C,C,,0,0,0,0,0,0,0,0,0,False,False,STEM Track,669.0,673,East Asian,Undergraduate degree (BA/BSc/other),30,Male,Asian,United States,United States,Korea,English,DATA_EXPIRED,DATA_EXPIRED
