,participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.drop,participant.single,participant.page_number,participant.oppo_list,participant.payoffs_list,participant.oppo_payoffs_list,participant.nodes_list,participant.oppo_nodes_list,participant.takes_list,participant.oppo_takes_list,participant.order,participant.finished,participant.prolificID,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.name,session.config.return_url,session.config.participation_fee,session.config.real_world_currency_per_point,Exp2_Intro.1.player.id_in_group,Exp2_Intro.1.player.role,Exp2_Intro.1.player.payoff,Exp2_Intro.1.player.prolific_id,Exp2_Intro.1.group.id_in_subsession,Exp2_Intro.1.subsession.round_number,Exp2_Section_1.1.player.id_in_group,Exp2_Section_1.1.player.role,Exp2_Section_1.1.player.payoff,Exp2_Section_1.1.player.question1,Exp2_Section_1.1.player.question2,Exp2_Section_1.1.player.question3,Exp2_Section_1.1.player.question4,Exp2_Section_1.1.player.question5,Exp2_Section_1.1.player.question6,Exp2_Section_1.1.player.question7,Exp2_Section_1.1.player.question8,Exp2_Section_1.1.player.question9,Exp2_Section_1.1.player.question10,Exp2_Section_1.1.player.stem_quiz_1_answers,Exp2_Section_1.1.player.stem_quiz_1_score,Exp2_Section_1.1.player.num_tab_switches_in_section_1,Exp2_Section_1.1.player.total_time_hidden_in_section_1,Exp2_Section_1.1.group.id_in_subsession,Exp2_Section_1.1.subsession.round_number,Exp2_Section_2_3.1.player.id_in_group,Exp2_Section_2_3.1.player.role,Exp2_Section_2_3.1.player.payoff,Exp2_Section_2_3.1.player.track,Exp2_Section_2_3.1.player.path,Exp2_Section_2_3.1.player.preferred_info_structure,Exp2_Section_2_3.1.player.performance,Exp2_Section_2_3.1.player.ball_color,Exp2_Section_2_3.1.player.overplacement,Exp2_Section_2_3.1.player.overestimation,Exp2_Section_2_3.1.player.passing_threshold,Exp2_Section_2_3.1.player.ball_origin_estimation,Exp2_Section_2_3.1.group.id_in_subsession,Exp2_Section_2_3.1.subsession.round_number,Exp2_Section_4.1.player.id_in_group,Exp2_Section_4.1.player.role,Exp2_Section_4.1.player.payoff,Exp2_Section_4.1.player.schools_private_independent,Exp2_Section_4.1.player.schools_private_religious,Exp2_Section_4.1.player.schools_public_school,Exp2_Section_4.1.player.schools_homeschool,Exp2_Section_4.1.player.schools_online_school,Exp2_Section_4.1.player.schools_charter_school,Exp2_Section_4.1.player.schools_all_girls_school,Exp2_Section_4.1.player.schools_all_boys_school,Exp2_Section_4.1.player.schools_stem_oriented_school,Exp2_Section_4.1.player.subjects,Exp2_Section_4.1.player.experience,Exp2_Section_4.1.group.id_in_subsession,Exp2_Section_4.1.subsession.round_number,Intro.1.player.id_in_group,Intro.1.player.role,Intro.1.player.payoff,Intro.1.player.prolific_id,Intro.1.group.id_in_subsession,Intro.1.subsession.round_number,Section_1.1.player.id_in_group,Section_1.1.player.role,Section_1.1.player.payoff,Section_1.1.player.question1,Section_1.1.player.question2,Section_1.1.player.question3,Section_1.1.player.question4,Section_1.1.player.question5,Section_1.1.player.question6,Section_1.1.player.question7,Section_1.1.player.question8,Section_1.1.player.question9,Section_1.1.player.question10,Section_1.1.player.stem_quiz_1_answers,Section_1.1.player.stem_quiz_1_score,Section_1.1.player.num_tab_switches_in_section_1,Section_1.1.player.total_time_hidden_in_section_1,Section_1.1.group.id_in_subsession,Section_1.1.subsession.round_number,Section_2_3.1.player.id_in_group,Section_2_3.1.player.role,Section_2_3.1.player.payoff,Section_2_3.1.player.track,Section_2_3.1.player.path,Section_2_3.1.player.info_structure,Section_2_3.1.player.performance,Section_2_3.1.player.ball_color,Section_2_3.1.player.overplacement,Section_2_3.1.player.overestimation,Section_2_3.1.player.passing_threshold,Section_2_3.1.player.ball_origin_estimation,Section_2_3.1.group.id_in_subsession,Section_2_3.1.subsession.round_number,Section_4_5.1.player.id_in_group,Section_4_5.1.player.role,Section_4_5.1.player.payoff,Section_4_5.1.player.question1,Section_4_5.1.player.question2,Section_4_5.1.player.question3,Section_4_5.1.player.question4,Section_4_5.1.player.question5,Section_4_5.1.player.question6,Section_4_5.1.player.question7,Section_4_5.1.player.question8,Section_4_5.1.player.question9,Section_4_5.1.player.question10,Section_4_5.1.player.quiz_2_answers,Section_4_5.1.player.quiz_2_score,Section_4_5.1.player.preferred_second_survey,Section_4_5.1.player.parsed_questions,Section_4_5.1.player.num_tab_switches_in_section_5,Section_4_5.1.player.total_time_hidden_in_section_5,Section_4_5.1.player.passing_threshold,Section_4_5.1.group.id_in_subsession,Section_4_5.1.subsession.round_number,Section_6.1.player.id_in_group,Section_6.1.player.role,Section_6.1.player.payoff,Section_6.1.player.question1,Section_6.1.player.question2,Section_6.1.player.question3,Section_6.1.player.question4,Section_6.1.player.question5,Section_6.1.player.question6,Section_6.1.player.question7,Section_6.1.player.question8,Section_6.1.player.question9,Section_6.1.player.question10,Section_6.1.player.question11,Section_6.1.player.risk_tolerance_answers,Section_6.1.group.id_in_subsession,Section_6.1.subsession.round_number,Section_7.1.player.id_in_group,Section_7.1.player.role,Section_7.1.player.payoff,Section_7.1.player.schools_private_independent,Section_7.1.player.schools_private_religious,Section_7.1.player.schools_public_school,Section_7.1.player.schools_homeschool,Section_7.1.player.schools_online_school,Section_7.1.player.schools_charter_school,Section_7.1.player.schools_all_girls_school,Section_7.1.player.schools_all_boys_school,Section_7.1.player.schools_stem_oriented_school,Section_7.1.player.track_decision,Section_7.1.player.subjects,Section_7.1.player.experience,Section_7.1.player.preferred_second_survey,Section_7.1.group.id_in_subsession,Section_7.1.subsession.round_number,Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Ethnicity,Highest education level completed,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
0,3,fr9sstp6,,0,12,12,Exp2_Section_4,EndSurvey,2024-09-26 16:06:56.684508,1,,,0.0,,,,,,,,,,,,,,519akakd,,,,,0,Experiment_2_Skewness_Preference,https://app.prolific.com/submissions/complete?cc=C1BTHULB,0.0,1.0,3,,0.0,6290e064d34ecad7706ccb93,1,1,3,,0.0,C,C,A,D,A,A,C,C,C,C,CCADAACCCC,0.2,1.0,3.459,1,1,3,,0.0,noisy,explanation,Choice A,Fail,red,50.0,4.0,3.0,Pass Box,1,1,3,,0.0,0,0,1,0,0,1,0,0,0,General studies. I've worked in transportation and technology industries. ,Was an interesting and difficult process. ,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66f586985bdcb687f79da601,6290e064d34ecad7706ccb93,APPROVED,Not Applicable,2024-09-26T16:06:53.721000Z,2024-09-26T16:12:05.349000Z,2024-09-26T16:12:10.385000Z,2024-09-26T16:12:07.160775Z,312.0,C1BTHULB,736,White,High school diploma/A-levels,30,Male,White,United States,United States,United States,English,No,Full-Time
1,4,t42lxzxa,,0,12,12,Exp2_Section_4,EndSurvey,2024-09-26 16:07:29.212766,1,,,0.0,,,,,,,,,,,,,,519akakd,,,,,0,Experiment_2_Skewness_Preference,https://app.prolific.com/submissions/complete?cc=C1BTHULB,0.0,1.0,4,,0.0,61644b17ec9f97f7485d5624,1,1,4,,0.0,A,A,B,B,C,C,B,C,A,C,AABBCCBCAC,0.4,0.0,0.0,1,1,4,,0.0,noisy,explanation,Choice B,Fail,black,70.0,7.0,8.0,Fail Box,1,1,4,,0.0,1,0,0,0,0,0,0,0,0,"Data structures, cyber security, elective maths",I had no issues with the study.,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66f586b3d3ec83685eaa5f33,61644b17ec9f97f7485d5624,APPROVED,Not Applicable,2024-09-26T16:07:22.400000Z,2024-09-26T16:27:28.785000Z,2024-09-26T16:29:50.189000Z,2024-09-26T16:29:59.019634Z,1207.0,C1BTHULB,2567,Black/African American,Graduate degree (MA/MSc/MPhil/other),29,Female,Black,United States,United States,United States,English,No,Part-Time
2,5,g883hh0f,,0,12,12,Exp2_Section_4,EndSurvey,2024-09-26 16:07:42.971077,1,,,0.0,,,,,,,,,,,,,,519akakd,,,,,0,Experiment_2_Skewness_Preference,https://app.prolific.com/submissions/complete?cc=C1BTHULB,0.0,1.0,5,,0.0,66549179a1cb5573cc49c790,1,1,5,,0.0,C,C,A,C,D,B,D,A,A,D,CCACDBDAAD,0.2,0.0,0.0,1,1,5,,0.0,noisy,explanation,Choice B,Pass,red,1.0,1.0,1.0,Fail Box,1,1,5,,0.0,0,0,1,0,0,0,0,0,0,Education,Terrible.  This stressed me because I have never been good at math and didn't understand most of the questions.,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66f586c27b2719b48a75ace0,66549179a1cb5573cc49c790,APPROVED,Not Applicable,2024-09-26T16:07:39.140000Z,2024-09-26T16:16:35.390000Z,2024-09-26T16:20:11.723000Z,2024-09-26T16:17:58.590566Z,537.0,C1BTHULB,269,White,Graduate degree (MA/MSc/MPhil/other),45,Female,White,United States,United States,United States,English,No,Part-Time
3,6,fln3v36e,,0,12,12,Exp2_Section_4,EndSurvey,2024-09-26 16:09:28.790684,1,,,0.0,,,,,,,,,,,,,,519akakd,,,,,0,Experiment_2_Skewness_Preference,https://app.prolific.com/submissions/complete?cc=C1BTHULB,0.0,1.0,6,,0.0,6659ef479b424681dc3f60ba,1,1,6,,0.0,D,C,A,B,D,A,A,B,B,A,DCABDAABBA,0.1,0.0,0.0,1,1,6,,0.0,noisy,explanation,Choice B,Fail,red,40.0,3.0,4.0,Not Sure,1,1,6,,0.0,0,1,0,0,0,0,0,0,0,"Latin, Economics, English","Somewhat confusing, but interesting nonetheless.",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66f5872e016c22d8421a8e8c,6659ef479b424681dc3f60ba,APPROVED,Not Applicable,2024-09-26T16:09:24.390000Z,2024-09-26T16:22:58.297000Z,2024-09-26T16:22:59.175000Z,2024-09-26T16:22:59.071946Z,814.0,C1BTHULB,31,White,High school diploma/A-levels,30,Female,White,United States,United States,United States,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
4,7,wxcod1eb,,0,12,12,Exp2_Section_4,EndSurvey,2024-09-26 16:09:34.037322,1,,,0.0,,,,,,,,,,,,,,519akakd,,,,,0,Experiment_2_Skewness_Preference,https://app.prolific.com/submissions/complete?cc=C1BTHULB,0.0,1.0,7,,0.0,63386db00f7528f25101593c,1,1,7,,0.0,D,A,B,C,D,A,C,B,C,C,DABCDACBCC,0.2,0.0,0.0,1,1,7,,0.0,noisy,explanation,Choice A,Fail,red,50.0,5.0,5.0,Fail Box,1,1,7,,0.0,0,0,1,0,0,0,0,0,0,Biology ,No,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66f587225bdcb687f79da618,63386db00f7528f25101593c,APPROVED,Not Applicable,2024-09-26T16:09:12.552000Z,2024-09-26T16:19:00.073000Z,2024-09-26T16:20:49.641000Z,2024-09-26T16:19:00.873228Z,588.0,C1BTHULB,1562,White,Graduate degree (MA/MSc/MPhil/other),28,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
5,8,noteni1o,,0,12,12,Exp2_Section_4,EndSurvey,2024-09-26 16:10:17.396446,1,,,0.0,,,,,,,,,,,,,,519akakd,,,,,0,Experiment_2_Skewness_Preference,https://app.prolific.com/submissions/complete?cc=C1BTHULB,0.0,1.0,8,,0.0,664c96f5fdfc411c8d0cd939,1,1,8,,0.0,C,D,C,D,C,C,C,C,C,D,CDCDCCCCCD,0.3,0.0,0.0,1,1,8,,0.0,noisy,explanation,Choice A,Fail,red,20.0,4.0,5.0,Pass Box,1,1,8,,0.0,0,0,1,0,0,0,0,0,0,"Math, Science, English, Language Arts",The questions were very challenging for me.,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66f587597ba57a40551bcc16,664c96f5fdfc411c8d0cd939,APPROVED,Not Applicable,2024-09-26T16:10:11.194000Z,2024-09-26T16:15:25.670000Z,2024-09-26T16:18:08.639000Z,2024-09-26T16:17:43.125029Z,315.0,C1BTHULB,123,White,Technical/community college,33,Female,White,United States,United States,United States,English,No,Part-Time
6,9,apeihcak,,0,12,12,Exp2_Section_4,EndSurvey,2024-09-26 16:10:21.477667,1,,,0.0,,,,,,,,,,,,,,519akakd,,,,,0,Experiment_2_Skewness_Preference,https://app.prolific.com/submissions/complete?cc=C1BTHULB,0.0,1.0,9,,0.0,58c518d7b101a70001293900,1,1,9,,0.0,D,D,B,C,C,C,A,A,D,B,DDBCCCAADB,0.1,0.0,0.0,1,1,9,,0.0,noisy,explanation,Choice B,Fail,black,42.0,3.0,5.0,Fail Box,1,1,9,,0.0,0,0,1,0,0,0,0,0,0,accounting,i havent seen these maths in years and i feel very rusty.,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66f5876a58e1da34ae290cb2,58c518d7b101a70001293900,APPROVED,Not Applicable,2024-09-26T16:10:18.175000Z,2024-09-26T16:14:51.803000Z,2024-10-09T19:16:56.336000Z,2024-09-26T16:17:25.620386Z,274.0,C1BTHULB,3373,Mixed,Undergraduate degree (BA/BSc/other),40,Male,Mixed,United States,United States,United States,English,No,Full-Time
8,11,q7zdsshb,,0,12,12,Exp2_Section_4,EndSurvey,2024-09-26 16:11:02.989899,1,,,0.0,,,,,,,,,,,,,,519akakd,,,,,0,Experiment_2_Skewness_Preference,https://app.prolific.com/submissions/complete?cc=C1BTHULB,0.0,1.0,11,,0.0,60fdef558b926ecb4de631cf,1,1,11,,0.0,D,D,A,B,D,B,D,C,B,B,DDABDBDCBB,0.5,0.0,0.0,1,1,11,,0.0,noisy,explanation,Choice B,Pass,red,50.0,4.0,5.0,Pass Box,1,1,11,,0.0,0,0,1,0,0,0,0,0,0,"I subjected just really basic general subjects, nothing specific to an industry ",I realized that I really don't have a lot of math skills ,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66f5878e298d2a6221a82929,60fdef558b926ecb4de631cf,APPROVED,Not Applicable,2024-09-26T16:10:59.508000Z,2024-09-26T16:19:20.983000Z,2024-09-26T16:20:51.253000Z,2024-09-26T16:19:21.644508Z,502.0,C1BTHULB,1201,White,Technical/community college,29,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
9,12,n1h9r1bn,,0,12,12,Exp2_Section_4,EndSurvey,2024-09-26 16:11:38.240948,1,,,0.0,,,,,,,,,,,,,,519akakd,,,,,0,Experiment_2_Skewness_Preference,https://app.prolific.com/submissions/complete?cc=C1BTHULB,0.0,1.0,12,,0.0,611feee3fbf3a45d9af39eeb,1,1,12,,0.0,B,A,B,C,A,C,A,C,B,B,BABCACACBB,0.3,15.0,120.123,1,1,12,,0.0,noisy,explanation,Choice A,Pass,black,30.0,4.0,3.0,Pass Box,1,1,12,,0.0,0,0,1,0,0,0,0,0,0,Accounting related courses,It was great,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66f587a80132ed7008caf574,611feee3fbf3a45d9af39eeb,APPROVED,Not Applicable,2024-09-26T16:11:29.977000Z,2024-09-26T16:24:05.472000Z,2024-09-26T16:24:09.024000Z,2024-09-26T16:24:06.411013Z,756.0,C1BTHULB,3319,Black/African American,Graduate degree (MA/MSc/MPhil/other),31,Male,Black,United States,United States,United States,English,No,Full-Time
10,13,8y781ih8,,0,12,12,Exp2_Section_4,EndSurvey,2024-09-26 16:11:46.484774,1,,,0.0,,,,,,,,,,,,,,519akakd,,,,,0,Experiment_2_Skewness_Preference,https://app.prolific.com/submissions/complete?cc=C1BTHULB,0.0,1.0,13,,0.0,5d654282986878001c2a5db7,1,1,13,,0.0,D,B,C,D,A,C,B,B,C,B,DBCDACBBCB,0.3,0.0,0.0,1,1,13,,0.0,noisy,explanation,Choice A,Pass,red,20.0,2.0,2.0,Pass Box,1,1,13,,0.0,0,0,1,0,0,0,0,0,0,"english, communications",,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66f587b920dc368058be087c,5d654282986878001c2a5db7,APPROVED,Not Applicable,2024-09-26T16:11:43.831000Z,2024-09-26T16:14:37.447000Z,2024-10-09T19:16:59.036000Z,2024-09-26T16:17:15.387382Z,174.0,C1BTHULB,6276,Mixed,Graduate degree (MA/MSc/MPhil/other),41,Female,White,United States,United States,United States,English,No,Full-Time
