,participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.drop,participant.single,participant.page_number,participant.oppo_list,participant.payoffs_list,participant.oppo_payoffs_list,participant.nodes_list,participant.oppo_nodes_list,participant.takes_list,participant.oppo_takes_list,participant.order,participant.finished,participant.prolificID,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.participation_fee,session.config.name,session.config.return_url,session.config.real_world_currency_per_point,Intro.1.player.id_in_group,Intro.1.player.role,Intro.1.player.payoff,Intro.1.player.prolific_id,Intro.1.group.id_in_subsession,Intro.1.subsession.round_number,Section_1.1.player.id_in_group,Section_1.1.player.role,Section_1.1.player.payoff,Section_1.1.player.question1,Section_1.1.player.question2,Section_1.1.player.question3,Section_1.1.player.question4,Section_1.1.player.question5,Section_1.1.player.question6,Section_1.1.player.question7,Section_1.1.player.question8,Section_1.1.player.question9,Section_1.1.player.question10,Section_1.1.player.stem_quiz_1_answers,Section_1.1.player.stem_quiz_1_score,Section_1.1.player.num_tab_switches_in_section_1,Section_1.1.player.total_time_hidden_in_section_1,Section_1.1.group.id_in_subsession,Section_1.1.subsession.round_number,Section_2_3.1.player.id_in_group,Section_2_3.1.player.role,Section_2_3.1.player.payoff,Section_2_3.1.player.track,Section_2_3.1.player.path,Section_2_3.1.player.info_structure,Section_2_3.1.player.performance,Section_2_3.1.player.ball_color,Section_2_3.1.player.overplacement,Section_2_3.1.player.overestimation,Section_2_3.1.player.passing_threshold,Section_2_3.1.player.ball_origin_estimation,Section_2_3.1.group.id_in_subsession,Section_2_3.1.subsession.round_number,Section_4_5.1.player.id_in_group,Section_4_5.1.player.role,Section_4_5.1.player.payoff,Section_4_5.1.player.question1,Section_4_5.1.player.question2,Section_4_5.1.player.question3,Section_4_5.1.player.question4,Section_4_5.1.player.question5,Section_4_5.1.player.question6,Section_4_5.1.player.question7,Section_4_5.1.player.question8,Section_4_5.1.player.question9,Section_4_5.1.player.question10,Section_4_5.1.player.quiz_2_answers,Section_4_5.1.player.quiz_2_score,Section_4_5.1.player.preferred_second_survey,Section_4_5.1.player.parsed_questions,Section_4_5.1.player.num_tab_switches_in_section_5,Section_4_5.1.player.total_time_hidden_in_section_5,Section_4_5.1.player.passing_threshold,Section_4_5.1.group.id_in_subsession,Section_4_5.1.subsession.round_number,Section_6.1.player.id_in_group,Section_6.1.player.role,Section_6.1.player.payoff,Section_6.1.player.question1,Section_6.1.player.question2,Section_6.1.player.question3,Section_6.1.player.question4,Section_6.1.player.question5,Section_6.1.player.question6,Section_6.1.player.question7,Section_6.1.player.question8,Section_6.1.player.question9,Section_6.1.player.question10,Section_6.1.player.question11,Section_6.1.player.risk_tolerance_answers,Section_6.1.group.id_in_subsession,Section_6.1.subsession.round_number,Section_7.1.player.id_in_group,Section_7.1.player.role,Section_7.1.player.payoff,Section_7.1.player.schools_private_independent,Section_7.1.player.schools_private_religious,Section_7.1.player.schools_public_school,Section_7.1.player.schools_homeschool,Section_7.1.player.schools_online_school,Section_7.1.player.schools_charter_school,Section_7.1.player.schools_all_girls_school,Section_7.1.player.schools_all_boys_school,Section_7.1.player.schools_stem_oriented_school,Section_7.1.player.track_decision,Section_7.1.player.subjects,Section_7.1.player.experience,Section_7.1.player.preferred_second_survey,Section_7.1.group.id_in_subsession,Section_7.1.subsession.round_number,Exp2_Intro.1.player.id_in_group,Exp2_Intro.1.player.role,Exp2_Intro.1.player.payoff,Exp2_Intro.1.player.prolific_id,Exp2_Intro.1.group.id_in_subsession,Exp2_Intro.1.subsession.round_number,Exp2_Section_1.1.player.id_in_group,Exp2_Section_1.1.player.role,Exp2_Section_1.1.player.payoff,Exp2_Section_1.1.player.question1,Exp2_Section_1.1.player.question2,Exp2_Section_1.1.player.question3,Exp2_Section_1.1.player.question4,Exp2_Section_1.1.player.question5,Exp2_Section_1.1.player.question6,Exp2_Section_1.1.player.question7,Exp2_Section_1.1.player.question8,Exp2_Section_1.1.player.question9,Exp2_Section_1.1.player.question10,Exp2_Section_1.1.player.stem_quiz_1_answers,Exp2_Section_1.1.player.stem_quiz_1_score,Exp2_Section_1.1.player.num_tab_switches_in_section_1,Exp2_Section_1.1.player.total_time_hidden_in_section_1,Exp2_Section_1.1.group.id_in_subsession,Exp2_Section_1.1.subsession.round_number,Exp2_Section_2_3.1.player.id_in_group,Exp2_Section_2_3.1.player.role,Exp2_Section_2_3.1.player.payoff,Exp2_Section_2_3.1.player.track,Exp2_Section_2_3.1.player.path,Exp2_Section_2_3.1.player.preferred_info_structure,Exp2_Section_2_3.1.player.performance,Exp2_Section_2_3.1.player.ball_color,Exp2_Section_2_3.1.player.overplacement,Exp2_Section_2_3.1.player.overestimation,Exp2_Section_2_3.1.player.passing_threshold,Exp2_Section_2_3.1.player.ball_origin_estimation,Exp2_Section_2_3.1.group.id_in_subsession,Exp2_Section_2_3.1.subsession.round_number,Exp2_Section_4.1.player.id_in_group,Exp2_Section_4.1.player.role,Exp2_Section_4.1.player.payoff,Exp2_Section_4.1.player.schools_private_independent,Exp2_Section_4.1.player.schools_private_religious,Exp2_Section_4.1.player.schools_public_school,Exp2_Section_4.1.player.schools_homeschool,Exp2_Section_4.1.player.schools_online_school,Exp2_Section_4.1.player.schools_charter_school,Exp2_Section_4.1.player.schools_all_girls_school,Exp2_Section_4.1.player.schools_all_boys_school,Exp2_Section_4.1.player.schools_stem_oriented_school,Exp2_Section_4.1.player.subjects,Exp2_Section_4.1.player.experience,Exp2_Section_4.1.group.id_in_subsession,Exp2_Section_4.1.subsession.round_number,Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Ethnicity,Highest education level completed,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
0,1,6jex8frt,,0,18,18,Section_7,EndSurvey,2024-09-23 16:25:25.246545,1,,,0.0,,,,,,,,,,,,,,ii1b7jbz,,,,,0,0.0,Experiment_1_Persistence,https://app.prolific.com/submissions/complete?cc=C1BTHULB,1.0,1,,0.0,6361a6a7be16d8144319fd3a,1,1,1,,0.0,C,B,A,D,B,D,C,A,C,B,CBADBDCACB,0.3,0.0,0.0,1,1,1,,0.0,noisy,random,positive,Fail,red,40.0,3.0,6.0,Pass Box,1,1,1,,0.0,D,B,A,C,B,D,A,B,C,D,DBACBDABCD,1.0,Non-STEM Track,,0.0,0.0,6.0,1,1,1,,0.0,R,R,R,R,C,C,C,C,C,C,C,RRRRCCCCCCC,1,1,1,,0.0,0,0,1,0,0,0,0,0,0,The STEM questions were very difficult.,IT and social studies,"good, fun study",Non-STEM Track,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66f1966e032450c7886a18ed,6361a6a7be16d8144319fd3a,APPROVED,Not Applicable,2024-09-23T16:25:22.919000Z,2024-09-23T16:31:03.134000Z,2024-09-23T16:51:03.080000Z,2024-09-23T16:31:35.536670Z,341.0,C1BTHULB,1775,White,Undergraduate degree (BA/BSc/other),40,Female,White,United States,United States,United States,English,No,Full-Time
1,2,jg0coaiy,,0,18,18,Section_7,EndSurvey,2024-09-23 16:25:49.663466,1,,,0.0,,,,,,,,,,,,,,ii1b7jbz,,,,,0,0.0,Experiment_1_Persistence,https://app.prolific.com/submissions/complete?cc=C1BTHULB,1.0,2,,0.0,6082c37809793130ca4b3f0e,1,1,2,,0.0,B,C,B,B,B,D,B,B,C,A,BCBBBDBBCA,0.3,0.0,0.0,1,1,2,,0.0,noisy,random,negative,Pass,red,0.0,0.0,0.0,Pass Box,1,1,2,,0.0,D,B,A,C,B,D,A,B,C,D,DBACBDABCD,1.0,Non-STEM Track,,0.0,0.0,0.0,1,1,2,,0.0,R,R,R,R,C,C,C,C,C,C,C,RRRRCCCCCCC,1,1,2,,0.0,0,0,1,0,0,0,0,0,0,I am NO good a math,"science, nursing and medical, social work",no,Non-STEM Track,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66f196838fd75d3321990305,6082c37809793130ca4b3f0e,APPROVED,Not Applicable,2024-09-23T16:25:45.645000Z,2024-09-23T16:31:54.050000Z,2024-09-23T16:51:04.055000Z,2024-09-23T16:31:59.031729Z,369.0,C1BTHULB,2462,White,Graduate degree (MA/MSc/MPhil/other),55,Female,White,United States,United States,United States,English,No,Full-Time
2,3,s983t4sd,,0,18,18,Section_7,EndSurvey,2024-09-23 16:25:54.515481,1,,,0.0,,,,,,,,,,,,,,ii1b7jbz,,,,,0,0.0,Experiment_1_Persistence,https://app.prolific.com/submissions/complete?cc=C1BTHULB,1.0,3,,0.0,6644cc5cd5c7910e43e9138d,1,1,3,,0.0,D,D,C,C,B,B,B,C,C,D,DDCCBBBCCD,0.5,0.0,0.0,1,1,3,,0.0,noisy,random,positive,Pass,black,0.0,1.0,1.0,Fail Box,1,1,3,,0.0,D,B,A,C,B,D,A,B,C,D,DBACBDABCD,1.0,Non-STEM Track,,0.0,0.0,1.0,1,1,3,,0.0,R,R,R,R,R,R,C,C,C,C,C,RRRRRRCCCCC,1,1,3,,0.0,0,0,1,0,0,0,0,0,0,I am not good at STEM related math questions. ,General studies with an emphasis on liberal arts. ,I did not like this. I am not good at math at all. ,Non-STEM Track,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66f19675d703e417fcc0d59c,6644cc5cd5c7910e43e9138d,APPROVED,Not Applicable,2024-09-23T16:25:50.025000Z,2024-09-23T16:30:22.213000Z,2024-09-23T16:51:03.368000Z,2024-09-23T16:30:28.801036Z,273.0,C1BTHULB,22,White,Undergraduate degree (BA/BSc/other),48,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
3,4,rn33jtbe,,0,18,18,Section_7,EndSurvey,2024-09-23 16:26:01.109456,1,,,0.0,,,,,,,,,,,,,,ii1b7jbz,,,,,0,0.0,Experiment_1_Persistence,https://app.prolific.com/submissions/complete?cc=C1BTHULB,1.0,4,,0.0,66e489884c328af28fd6c164,1,1,4,,0.0,B,D,A,A,A,B,C,A,B,B,BDAAABCABB,0.2,0.0,0.0,1,1,4,,0.0,noisy,random,ground,Fail,red,1.0,8.0,8.0,Fail Box,1,1,4,,0.0,B,A,B,B,C,A,B,A,C,A,BABBCABACA,0.3,STEM Track,,0.0,0.0,8.0,1,1,4,,0.0,R,R,C,C,C,C,C,C,C,C,C,RRCCCCCCCCC,1,1,4,,0.0,0,1,0,0,0,0,0,0,0,Bonus ,Science ,,STEM Track,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66f1968b397de72f1969cef9,66e489884c328af28fd6c164,APPROVED,Not Applicable,2024-09-23T16:25:53.635000Z,2024-09-23T16:32:46.324000Z,2024-09-23T16:51:04.355000Z,2024-09-23T16:32:49.448691Z,413.0,C1BTHULB,2,White,Technical/community college,34,Female,White,United States,United States,United States,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6,7,271xydlz,,0,18,18,Section_7,EndSurvey,2024-09-23 16:27:49.205242,1,,,0.0,,,,,,,,,,,,,,ii1b7jbz,,,,,0,0.0,Experiment_1_Persistence,https://app.prolific.com/submissions/complete?cc=C1BTHULB,1.0,7,,0.0,611d2052a2e24732a40fe5c6,1,1,7,,0.0,C,A,A,C,B,B,C,C,C,C,CAACBBCCCC,0.5,0.0,0.0,1,1,7,,0.0,noisy,random,negative,Pass,black,30.0,4.0,5.0,Not Sure,1,1,7,,0.0,D,B,A,C,B,D,A,B,C,D,DBACBDABCD,1.0,Non-STEM Track,,0.0,0.0,5.0,1,1,7,,0.0,R,R,R,R,R,R,C,C,C,C,C,RRRRRRCCCCC,1,1,7,,0.0,0,0,1,0,0,0,0,0,0,I am not good at STEM.,Law,Good,Non-STEM Track,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66f196eec98bb40838ad5250,611d2052a2e24732a40fe5c6,APPROVED,Not Applicable,2024-09-23T16:27:46.295000Z,2024-09-23T16:33:59.785000Z,2024-09-23T16:51:04.659000Z,2024-09-23T16:34:11.390963Z,374.0,C1BTHULB,1621,White,Undergraduate degree (BA/BSc/other),25,Male,White,United States,United States,United States,English,Yes,Other
7,8,vxncectj,,0,18,18,Section_7,EndSurvey,2024-09-23 16:28:51.242446,1,,,0.0,,,,,,,,,,,,,,ii1b7jbz,,,,,0,0.0,Experiment_1_Persistence,https://app.prolific.com/submissions/complete?cc=C1BTHULB,1.0,8,,0.0,60fd039e56424472d825f1e5,1,1,8,,0.0,D,B,A,B,D,,,,,,DBABD,0.1,0.0,0.0,1,1,8,,0.0,noisy,random,ground,Fail,red,25.0,1.0,10.0,Fail Box,1,1,8,,0.0,D,B,A,D,B,D,A,B,C,D,DBADBDABCD,0.9,Non-STEM Track,,2.0,196.74,10.0,1,1,8,,0.0,R,R,C,C,C,C,C,C,C,C,C,RRCCCCCCCCC,1,1,8,,0.0,0,0,1,0,0,1,0,0,0,I hate math and am bad at it.,Sociology and psychology along with english and journalism,"I enjoyed it, felt like I was back at school.",Non-STEM Track,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66f19734a8a57c2f0582689c,60fd039e56424472d825f1e5,APPROVED,Not Applicable,2024-09-23T16:28:41.739000Z,2024-09-23T16:50:48.191000Z,2024-09-23T16:50:49.113000Z,2024-09-23T16:51:37.535522Z,1327.0,C1BTHULB,624,Latino/Hispanic,Undergraduate degree (BA/BSc/other),23,Female,Other,United States,United States,United States,Spanish,No,Full-Time
8,9,fgithz8z,,0,18,18,Section_7,EndSurvey,2024-09-23 16:30:17.164988,1,,,0.0,,,,,,,,,,,,,,ii1b7jbz,,,,,0,0.0,Experiment_1_Persistence,https://app.prolific.com/submissions/complete?cc=C1BTHULB,1.0,9,,0.0,629753864174e42d30576cf8,1,1,9,,0.0,D,A,C,D,D,C,A,D,C,A,DACDDCADCA,0.3,1.0,1.658,1,1,9,,0.0,noisy,random,negative,Fail,red,30.0,3.0,4.0,Fail Box,1,1,9,,0.0,D,B,A,C,B,D,A,B,C,C,DBACBDABCC,0.9,Non-STEM Track,,0.0,0.0,4.0,1,1,9,,0.0,R,R,R,R,C,C,C,C,C,C,C,RRRRCCCCCCC,1,1,9,,0.0,0,0,1,0,1,0,0,0,0,I am not good at math questions. I was very confused with the first test so it didn't make sense for me to continue doing those questions.,"Advanced manufacturing, CAD, and construction.","I sort of struggled through the first test, but the Non-STEM test wasn't so bad. I thought the instructions were a little confusing at times.",Non-STEM Track,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66f1978e3593549ce42435d1,629753864174e42d30576cf8,APPROVED,Not Applicable,2024-09-23T16:30:11.383000Z,2024-09-23T16:41:43.872000Z,2024-09-23T16:42:03.564000Z,2024-09-23T16:41:45.247352Z,693.0,C1BTHULB,1677,White,High school diploma/A-levels,23,Male,White,United States,United States,United States,English,No,Other
9,10,hsk0hjep,,0,18,18,Section_7,EndSurvey,2024-09-23 16:32:04.639680,1,,,0.0,,,,,,,,,,,,,,ii1b7jbz,,,,,0,0.0,Experiment_1_Persistence,https://app.prolific.com/submissions/complete?cc=C1BTHULB,1.0,10,,0.0,5aee513f3606ab0001b92b29,1,1,10,,0.0,D,C,B,B,A,D,D,C,C,B,DCBBADDCCB,0.5,0.0,0.0,1,1,10,,0.0,noisy,random,positive,Pass,red,25.0,4.0,4.0,Pass Box,1,1,10,,0.0,B,B,C,A,B,D,C,C,C,C,BBCABDCCCC,0.6,STEM Track,,0.0,0.0,4.0,1,1,10,,0.0,R,R,R,R,R,R,C,C,C,C,C,RRRRRRCCCCC,1,1,10,,0.0,0,0,1,0,0,0,0,0,0,Because I felt like I had the better chance to earn more money by going that route.,I worked in medical billing and coding and worked in that industry for a bit before changing occupations. The subjects related to that were mainly based around ICD-9/10 coding concepts and medical terminology and human anatomy.,I had zero issues. Thank you very much for the opportunity to assist with your research!,STEM Track,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66f197efa067a575f347a6f0,5aee513f3606ab0001b92b29,APPROVED,Not Applicable,2024-09-23T16:31:53.163000Z,2024-09-23T16:52:37.495000Z,2024-09-23T16:52:41.293000Z,2024-09-23T16:52:38.154419Z,1245.0,C1BTHULB,2289,White,Technical/community college,39,Male,White,United States,United States,United States,English,No,Full-Time
10,11,r03j4otm,,0,18,18,Section_7,EndSurvey,2024-09-23 16:34:56.826670,1,,,0.0,,,,,,,,,,,,,,ii1b7jbz,,,,,0,0.0,Experiment_1_Persistence,https://app.prolific.com/submissions/complete?cc=C1BTHULB,1.0,11,,0.0,5e6484158bd03f1f1bdc1821,1,1,11,,0.0,A,B,A,D,B,B,D,B,A,C,ABADBBDBAC,0.4,2.0,5.178,1,1,11,,0.0,noisy,random,ground,Pass,red,45.0,3.0,3.0,Pass Box,1,1,11,,0.0,A,C,B,B,A,C,C,A,C,B,ACBBACCACB,0.3,STEM Track,,4.0,98.555,3.0,1,1,11,,0.0,R,R,R,R,R,C,C,C,C,C,C,RRRRRCCCCCC,1,1,11,,0.0,0,0,1,0,0,0,0,0,0,Because I wanted to challenge myself with the other questions ,math and science,it was challenging! thank you for the experience!,STEM Track,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66f198a981652e798b2ae360,5e6484158bd03f1f1bdc1821,APPROVED,Not Applicable,2024-09-23T16:34:54.353000Z,2024-09-23T16:48:40.936000Z,2024-09-23T16:49:26.940000Z,2024-09-23T16:51:12.414233Z,827.0,C1BTHULB,1896,Latino/Hispanic,High school diploma/A-levels,34,Male,Other,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
11,12,6xp82qfk,,0,18,18,Section_7,EndSurvey,2024-09-23 16:35:52.256484,1,,,0.0,,,,,,,,,,,,,,ii1b7jbz,,,,,0,0.0,Experiment_1_Persistence,https://app.prolific.com/submissions/complete?cc=C1BTHULB,1.0,12,,0.0,5ef37831c37ebb0bbd2d3e03,1,1,12,,0.0,D,A,C,B,B,B,D,B,C,B,DACBBBDBCB,0.8,1.0,23.477,1,1,12,,0.0,noisy,random,ground,Fail,red,100.0,10.0,10.0,Fail Box,1,1,12,,0.0,B,D,C,C,A,D,C,A,B,C,BDCCADCABC,0.8,STEM Track,,0.0,0.0,10.0,1,1,12,,0.0,R,R,R,R,R,C,C,C,C,C,C,RRRRRCCCCCC,1,1,12,,0.0,0,0,1,0,0,0,0,0,0,My interests were in Computer Science and Mathematics.,"Mathematics, focus on discrete mathematics and logic. Additionally computer science courses on the side. Work in the software industry.",Fairly straightforward.,STEM Track,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66f1985c816c925449ed60a5,5ef37831c37ebb0bbd2d3e03,APPROVED,Not Applicable,2024-09-23T16:35:49.654000Z,2024-09-23T16:53:40.157000Z,2024-09-23T16:53:44.158000Z,2024-09-23T16:53:41.096088Z,1071.0,C1BTHULB,3483,East Asian,Undergraduate degree (BA/BSc/other),28,Male,Asian,Philippines,United States,United States,Tagalog-Filipino,No,Full-Time
